k,strategy,words,representation_unique,representation_collision_rate,hash,hash_unique,hash_collision_entries,hash_collision_rate,hashes_per_second
2,PREFIX,143091,483,0.9966245256515085,HPSS_POSITIONAL,483,142608,0.9966245256515085,3070151.8464822033
2,PREFIX,143091,483,0.9966245256515085,FNV1A64,483,142608,0.9966245256515085,2926313.431397973
2,PREFIX,143091,483,0.9966245256515085,MURMUR3_64,483,142608,0.9966245256515085,2815419.410550125
2,PREFIX,143091,483,0.9966245256515085,XXHASH64,483,142608,0.9966245256515085,3531522.013409701
2,SUFFIX,143091,476,0.9966734455696026,HPSS_POSITIONAL,476,142615,0.9966734455696026,2748722.1768089402
2,SUFFIX,143091,476,0.9966734455696026,FNV1A64,476,142615,0.9966734455696026,2481805.96925064
2,SUFFIX,143091,476,0.9966734455696026,MURMUR3_64,476,142615,0.9966734455696026,2899936.945203482
2,SUFFIX,143091,476,0.9966734455696026,XXHASH64,476,142615,0.9966734455696026,3288767.916734462
2,HPSS,143091,627,0.995618173050716,HPSS_POSITIONAL,627,142464,0.995618173050716,3194938.4704483333
2,HPSS,143091,627,0.995618173050716,FNV1A64,627,142464,0.995618173050716,2857951.9906253335
2,HPSS,143091,627,0.995618173050716,MURMUR3_64,627,142464,0.995618173050716,3082392.4264649665
2,HPSS,143091,627,0.995618173050716,XXHASH64,627,142464,0.995618173050716,3394009.91914695
2,MIDDLE,143091,624,0.9956391387298992,HPSS_POSITIONAL,624,142467,0.9956391387298992,3282945.101245914
2,MIDDLE,143091,624,0.9956391387298992,FNV1A64,624,142467,0.9956391387298992,2801508.727895634
2,MIDDLE,143091,624,0.9956391387298992,MURMUR3_64,624,142467,0.9956391387298992,3082924.3102613552
2,MIDDLE,143091,624,0.9956391387298992,XXHASH64,624,142467,0.9956391387298992,3334966.349904582
4,PREFIX,143091,17908,0.8748488723958879,HPSS_POSITIONAL,17908,125183,0.8748488723958879,2076382.9925150413
4,PREFIX,143091,17908,0.8748488723958879,FNV1A64,17908,125183,0.8748488723958879,1651194.2191147287
4,PREFIX,143091,17908,0.8748488723958879,MURMUR3_64,17908,125183,0.8748488723958879,2653922.2411594638
4,PREFIX,143091,17908,0.8748488723958879,XXHASH64,17908,125183,0.8748488723958879,3012579.288608195
4,SUFFIX,143091,17032,0.8809708507173757,HPSS_POSITIONAL,17032,126059,0.8809708507173757,1987451.9861595111
4,SUFFIX,143091,17032,0.8809708507173757,FNV1A64,17032,126059,0.8809708507173757,1547472.984762198
4,SUFFIX,143091,17032,0.8809708507173757,MURMUR3_64,17032,126059,0.8809708507173757,3043168.885405369
4,SUFFIX,143091,17032,0.8809708507173757,XXHASH64,17032,126059,0.8809708507173757,3269523.274893517
4,HPSS,143091,23404,0.8364397481323074,HPSS_POSITIONAL,23404,119687,0.8364397481323074,2029108.2614411225
4,HPSS,143091,23404,0.8364397481323074,FNV1A64,23404,119687,0.8364397481323074,1465239.941782398
4,HPSS,143091,23404,0.8364397481323074,MURMUR3_64,23404,119687,0.8364397481323074,2806142.0448701805
4,HPSS,143091,23404,0.8364397481323074,XXHASH64,23404,119687,0.8364397481323074,3192978.0590364095
4,MIDDLE,143091,30571,0.7863527405636972,HPSS_POSITIONAL,30571,112520,0.7863527405636972,1811237.9001156893
4,MIDDLE,143091,30571,0.7863527405636972,FNV1A64,30571,112520,0.7863527405636972,1503706.0646673162
4,MIDDLE,143091,30571,0.7863527405636972,MURMUR3_64,30571,112520,0.7863527405636972,2736402.4134609955
4,MIDDLE,143091,30571,0.7863527405636972,XXHASH64,30571,112520,0.7863527405636972,3122697.452273191
6,PREFIX,143091,62712,0.5617334423548651,HPSS_POSITIONAL,62712,80379,0.5617334423548651,1456092.6120939949
6,PREFIX,143091,62712,0.5617334423548651,FNV1A64,62712,80379,0.5617334423548651,1069463.8085707864
6,PREFIX,143091,62712,0.5617334423548651,MURMUR3_64,62712,80379,0.5617334423548651,2843134.9738109643
6,PREFIX,143091,62712,0.5617334423548651,XXHASH64,62712,80379,0.5617334423548651,3516120.176610407
6,SUFFIX,143091,69022,0.5176356304729158,HPSS_POSITIONAL,69022,74069,0.5176356304729158,1697480.46499481
6,SUFFIX,143091,69022,0.5176356304729158,FNV1A64,69022,74069,0.5176356304729158,1218057.995159015
6,SUFFIX,143091,69022,0.5176356304729158,MURMUR3_64,69022,74069,0.5176356304729158,3320412.303723726
6,SUFFIX,143091,69022,0.5176356304729158,XXHASH64,69022,74069,0.5176356304729158,3687509.6912720758
6,HPSS,143091,93438,0.3470029561607648,HPSS_POSITIONAL,93438,49653,0.3470029561607648,1675897.8411482717
6,HPSS,143091,93438,0.3470029561607648,FNV1A64,93438,49653,0.3470029561607648,1086557.7488154876
6,HPSS,143091,93438,0.3470029561607648,MURMUR3_64,93438,49653,0.3470029561607648,3189277.7538800244
6,HPSS,143091,93438,0.3470029561607648,XXHASH64,93438,49653,0.3470029561607648,3654964.46785381
6,MIDDLE,143091,89992,0.3710855329825076,HPSS_POSITIONAL,89992,53099,0.3710855329825076,1747412.9273834883
6,MIDDLE,143091,89992,0.3710855329825076,FNV1A64,89992,53099,0.3710855329825076,1269789.8569710709
6,MIDDLE,143091,89992,0.3710855329825076,MURMUR3_64,89992,53099,0.3710855329825076,3356464.9205118907
6,MIDDLE,143091,89992,0.3710855329825076,XXHASH64,89992,53099,0.3710855329825076,3779472.927677537
8,PREFIX,143091,97421,0.3191675227652333,HPSS_POSITIONAL,97421,45670,0.3191675227652333,1431013.5338288217
8,PREFIX,143091,97421,0.3191675227652333,FNV1A64,97421,45670,0.3191675227652333,1041917.0364744859
8,PREFIX,143091,97421,0.3191675227652333,MURMUR3_64,97421,45670,0.3191675227652333,3335012.675722734
8,PREFIX,143091,97421,0.3191675227652333,XXHASH64,97421,45670,0.3191675227652333,3552657.5698955855
8,SUFFIX,143091,111391,0.2215373433689051,HPSS_POSITIONAL,111391,31700,0.2215373433689051,1334987.6154616573
8,SUFFIX,143091,111391,0.2215373433689051,FNV1A64,111391,31700,0.2215373433689051,1007714.9764481519
8,SUFFIX,143091,111391,0.2215373433689051,MURMUR3_64,111391,31700,0.2215373433689051,3194530.049058873
8,SUFFIX,143091,111391,0.2215373433689051,XXHASH64,111391,31700,0.2215373433689051,3611336.493821243
8,HPSS,143091,128705,0.1005374202430621,HPSS_POSITIONAL,128705,14386,0.1005374202430621,1324183.5226515972
8,HPSS,143091,128705,0.1005374202430621,FNV1A64,128705,14386,0.1005374202430621,979842.4218424404
8,HPSS,143091,128705,0.1005374202430621,MURMUR3_64,128705,14386,0.1005374202430621,3173412.273704911
8,HPSS,143091,128705,0.1005374202430621,XXHASH64,128705,14386,0.1005374202430621,3488574.759794111
8,MIDDLE,143091,117736,0.17719493189648544,HPSS_POSITIONAL,117736,25355,0.17719493189648544,1326428.4635080635
8,MIDDLE,143091,117736,0.17719493189648544,FNV1A64,117736,25355,0.17719493189648544,958247.6939062459
8,MIDDLE,143091,117736,0.17719493189648544,MURMUR3_64,117736,25355,0.17719493189648544,3162875.173792702
8,MIDDLE,143091,117736,0.17719493189648544,XXHASH64,117736,25355,0.17719493189648544,3520074.926464756
10,PREFIX,143091,121214,0.15288872116345542,HPSS_POSITIONAL,121214,21877,0.15288872116345542,1190522.6440250326
10,PREFIX,143091,121214,0.15288872116345542,FNV1A64,121214,21877,0.15288872116345542,889421.0971400932
10,PREFIX,143091,121214,0.15288872116345542,MURMUR3_64,121214,21877,0.15288872116345542,3170539.558511802
10,PREFIX,143091,121214,0.15288872116345542,XXHASH64,121214,21877,0.15288872116345542,3542489.787214175
10,SUFFIX,143091,130411,0.08861493734756204,HPSS_POSITIONAL,130411,12680,0.08861493734756204,1206589.4349137952
10,SUFFIX,143091,130411,0.08861493734756204,FNV1A64,130411,12680,0.08861493734756204,908968.7008095238
10,SUFFIX,143091,130411,0.08861493734756204,MURMUR3_64,130411,12680,0.08861493734756204,3193921.1059459285
10,SUFFIX,143091,130411,0.08861493734756204,XXHASH64,130411,12680,0.08861493734756204,3556306.395133886
10,HPSS,143091,138308,0.03342628117771208,HPSS_POSITIONAL,138308,4783,0.03342628117771208,1215746.6889967462
10,HPSS,143091,138308,0.03342628117771208,FNV1A64,138308,4783,0.03342628117771208,900916.3972671736
10,HPSS,143091,138308,0.03342628117771208,MURMUR3_64,138308,4783,0.03342628117771208,3194257.635969233
10,HPSS,143091,138308,0.03342628117771208,XXHASH64,138308,4783,0.03342628117771208,3579730.5161473136
10,MIDDLE,143091,131900,0.07820897191297846,HPSS_POSITIONAL,131900,11191,0.07820897191297846,1206845.1705472693
10,MIDDLE,143091,131900,0.07820897191297846,FNV1A64,131900,11191,0.07820897191297846,922547.6649139179
10,MIDDLE,143091,131900,0.07820897191297846,MURMUR3_64,131900,11191,0.07820897191297846,3213060.8923507794
10,MIDDLE,143091,131900,0.07820897191297846,XXHASH64,131900,11191,0.07820897191297846,3612578.2891354337
12,PREFIX,143091,134375,0.060912286586857316,HPSS_POSITIONAL,134375,8716,0.060912286586857316,1151006.5566055928
12,PREFIX,143091,134375,0.060912286586857316,FNV1A64,134375,8716,0.060912286586857316,865042.6362864375
12,PREFIX,143091,134375,0.060912286586857316,MURMUR3_64,134375,8716,0.060912286586857316,3252455.223990574
12,PREFIX,143091,134375,0.060912286586857316,XXHASH64,134375,8716,0.060912286586857316,3589014.396911867
12,SUFFIX,143091,138906,0.02924712246053211,HPSS_POSITIONAL,138906,4185,0.02924712246053211,1153870.4106546033
12,SUFFIX,143091,138906,0.02924712246053211,FNV1A64,138906,4185,0.02924712246053211,878343.1861174103
12,SUFFIX,143091,138906,0.02924712246053211,MURMUR3_64,138906,4185,0.02924712246053211,3245370.6955607897
12,SUFFIX,143091,138906,0.02924712246053211,XXHASH64,138906,4185,0.02924712246053211,3596018.8888517716
12,HPSS,143091,141396,0.011845608738495083,HPSS_POSITIONAL,141396,1695,0.011845608738495083,1161541.5084741246
12,HPSS,143091,141396,0.011845608738495083,FNV1A64,141396,1695,0.011845608738495083,878292.2386293581
12,HPSS,143091,141396,0.011845608738495083,MURMUR3_64,141396,1695,0.011845608738495083,3296048.480354341
12,HPSS,143091,141396,0.011845608738495083,XXHASH64,141396,1695,0.011845608738495083,3629755.732514139
12,MIDDLE,143091,138705,0.030651822965804976,HPSS_POSITIONAL,138705,4386,0.030651822965804976,1167519.646037843
12,MIDDLE,143091,138705,0.030651822965804976,FNV1A64,138705,4386,0.030651822965804976,891536.5208343205
12,MIDDLE,143091,138705,0.030651822965804976,MURMUR3_64,138705,4386,0.030651822965804976,3232747.665386228
12,MIDDLE,143091,138705,0.030651822965804976,XXHASH64,138705,4386,0.030651822965804976,3642643.9764043023
